Sentimen;Text;
negatif;Tak ada makan siang gratis Naikkan pajak yang fantastis Malu terlanjur janji manis Ganti makan bergizi gratis;
positif;Ini baru kerja sama solid Jepang bantu Indonesia dengan program makan bergizi gratis untuk masa depan yg lebih sehat;
positif;Kolaborasi hebat IndonesiaJepang lewat makan bergizi gratis bikin masa depan anakanak lebih cerah Luar biasa;
positif;Semoga kerja sama dengan Jepang buat makan bergizi gratis terus berlanjut ya;
positif;Menanti langkah lanjut dari kerjasama ini untuk kenyataan makan bergizi gratis;
positif;PM Jepang bawa kabar baik soal makan bergizi gratis Kerja sama solid yang bermanfaat banget buat Indonesia;
negatif;Itu bukan ngetawain tapi bentuk kegembiraan karena diberi makan bergizi gratis;
positif;Eh PM Jepang datang kasih support buat program gratis makan bergizi Jadi semangat buat perbaikan gizi di sini;
positif;Agar anakanak Indonesia sehat kunjungan PM Jepang dan dukungan makan bergizi gratis jadi angin segar;
positif;Indonesia dan Jepang bersatu wujudkan Makan Bergizi Gratis demi masa depan;
positif;Kedatangan PM Jepang bikin proyek makan bergizi gratis lebih punya gigi;
positif;Kerja sama bilateral IndonesiaJepang makin keren Makin semangat dengan hadirnya makan bergizi gratis Ini baru keren;
positif;PM Jepang ke Indonesia sinergi buat masa depan kudukung makan bergizi gratis;
positif;Dukungan Jepang bikin masyarakat dapet makan bergizi gratis;
positif;Solidaritas antar negara kuat buat wujudkan makan bergizi gratis;
positif;Kunjungan kali ini punya makna lebih dengan dukungan makan bergizi gratis Salut sama Jepang yg peduli kesehatan kita;
positif;Kunjungan PM Jepang fokus ke makan bergizi gratis yuk sambut positif;
positif;Wow kunjungan PM Jepang kali ini bawa kabar baik soal makan bergizi gratis Kolaborasi yg keren buat Indonesia;
positif;Dukung terus kerjasama IndonesiaJepang terutama makan bergizi gratis buat semua;
positif;Langkah keren dari PM Jepang dukung makan bergizi gratis Bersamasama kita bisa wujudkan generasi yg sehat dan cerdas;
positif;Dukung penuh inisiatif Jepang untuk makan bergizi gratis di Indonesia Kolaborasi yg sangat bermanfaat buat masa depan;
positif;Kunjungan PM Jepang membahas banyak hal termasuk makan bergizi gratis Langkah yg hebat demi kualitas hidup lebih baik;
positif;Langkah nyata Jepang bantu kesehatan lewat makan bergizi gratis buat anak Indonesia Terima kasih untuk kemitraan ini;
positif;Kesan kuat dari kunjungan PM Jepang makan bergizi gratis bakal segera dinikmati;
negatif;Makan bergizi gratis dari Jepang bukti keseriusan mereka bantu Indonesia capai kesejahteraan bersama Respect;
positif;Kolaborasi yang keren Jepang dukung program makan bergizi gratis untuk Indonesia yang lebih sehat;
negatif;Bener kok ngetiknya daripada program makan bergizi gratis MBG kenapa pemerintah ga berusaha gimana caranya makanan bergizi ini bisa dibeli seluruh kalangan tanpa ada yg merasa berat Malahan bisa ngurangin stunting juga kenapa ga mikirin car;
positif;Program makan bergizi gratis hasil kerja sama JepangIndonesia patut diacungi jempol;
positif;Kolaborasi apik Indonesia dan Jepang hadirkan Program Makan Bergizi Gratis;
positif;Mari dukung langkah besar IndoJepang sukseskan Program Makan Bergizi Gratis Menuju hidup sehat;
positif;Setitik harapan dari kunjungan ini bisa jadi permulaan makan bergizi gratis;
negatif;Indo dan Jepang bersatu mengubah mimpi jadi kenyataan Program Makan Bergizi Gratis bukti komitmen;
negatif;Program Makan Bergizi Gratis wujud sinergi IndonesiaJepang yang apik;
positif;Program Makan Bergizi Gratis hasil manis kerjasama IndonesiaJepang;
positif;Mengagumkan kunjungan PM Jepang bawa angin positif untuk makan bergizi gratis;
positif;Kabar baik PM Jepang nyatakan komitmennya soal makan bergizi gratis;
positif;Makan bergizi gratis salah satu fokus kunjungan PM Jepang ke Indonesia kali ini;
positif;Program makan bergizi gratis digaungkan yuk bantu sukseskan dengan kontribusi nyata;
positif;Ini langkah baik dari Jepang kerja sama makan bergizi gratis bakal banyak manfaatnya;
positif;Kita dukung kerja sama dengan Jepang soal makan bergizi gratis langkah positif untuk kita semua;
positif;Kunjungan PM Jepang ke Indonesia bawa angin segar untuk kerja sama bilateral terutama soal makan bergizi gratis;
positif;Kolaborasi baru untuk IndonesiaJepang sukses dengan program makan bergizi gratis Langkah cerdas untuk kesehatan;
positif;Salut deh PM Jepang datang ke Indonesia buat dukung program makan bergizi gratis;
negatif;Makan bergizi gratis serentak hanya pulau Jawa dan sekitarnya yang menikmati karena Indonesia hanya pulau Jawa dan sekitarnya Untuk pulau diluar pulau Jawa jangan banyak bermimpi untuk diurus negara Sampai pagi 21012025 ini anak2 kami tidak m;
negatif;Gratis disini maksudnya tidak dipungut biaya khusus untuk makan siang bergizi karena telah dibiayai atau ditanggung negara Apakah bea siswa dan sekolah gratis kau pikir tidak pakai dana negara  APBN;
positif;makan bergizi tapi ga bisa bayar uang sekolah tetep aja bohong mending sekolah gratis suaya uang sekolah bisa dipaksi utk beli makanan yang bergizi;
negatif;Pendidikan mah gak bakal jadi fokus selama periode ini wong lagi fokus ke program Makan Bergizi Gratis MBG Jangan kritik program MBG Kalau mengkritik dianggap nya sebagai buzzer Intinya gak boleh kritik;
negatif;Deddy Corbuzier Marah Ada Siswa Komplain Menu Makan Bergizi Gratis Gue Tabok;
positif;Makan Bergizi Gratis Peluang Besar Tantangan Transparansi dan Sorotan Internasional;
positif;Untung yg disurvey kebetulan yg dapat tender Makan Gratis Ga Bergizi;
negatif;22k views MENU MAKAN SIANG GRATIS BERGIZI GW RAME;
negatif;Makan bergizi dan susu gratis buat generasi muda kuat dan sehat;
negatif;Apakah yang dapat makan bergizi gratis semuanya layak menerima zakat sesuai syariah;
negatif;program makan siang bergizi gratis isinya lagu lagu rara sekar;
positif;Makan bergizi dan susu gratis di sekolah bikin anakanak riang belajar;
positif;Makan bergizi dan susu gratis untuk siswa bantu tumbuh optimal;
positif;Yg penting jgn Alergi thdp kritik program makan bergizi gratis Anda loh Pak mau menerima saran dn masukkan dr Publiksegera perbaiki mana yg ngak beneraoalgi klau ada oknum2 yg nyolong yg dpat berpengaruh pd kualitas MBGngomong2Kpan Usu;
positif;Makan bergizi dan susu gratis dukung kesehatan anak sekolah;
positif;Siswasiswa sekarang bisa nikmatin makan bergizi dan susu gratis di sekolah;
negatif;Influencer  Mau tampol anak yang mengkritisi program Makan Bergizi Gratis Utusan Khusus  Merendahkan Penjual es Teh amp;
negatif;Pertanyaan random terlintas pas tadi upacara pas pembacaan Pancasila Jadi Makan Bergizi Gratis itu memenuhi prinsip Keadilan Sosial Bagi Seluruh Rakyat Indonesia gak ENGGAK DONK;
negatif;Gimana mau terima kasih Makan bergizi Gratis belom sampai ke sekolah anak kami;
positif;Makan bergizi dan susu gratis di sekolah sangat diapresiasi anakanak sekolah terjamin gizinya sekarang;
negatif;Batalin program makan bergizi gratis bisa banyak menghemat Batalin wamen kementrian dan urusan presiden nggak jelas juga bisa menghemat banyak tuh;
negatif;Aku setuju banget sama dedy corbuzeier masih banyak manusi yg kelaparan di sana harus nya bersukur udah di kasih makan gratis komplin lg ayam itu kurang bergizi apa lagi harus nya di sukuri bukan malah komplin ayam nya nggk enak emang dasar na;
negatif;Ga ada gizinya jdi ga pantes di bilang makan bergizi Dan ga ada gratis itu pake uang pajak rakyat jdi ga pantes dibilang gratis Cocoknya makan tanpa gizi dri pajak rakyat;
negatif;Makan bergizi gratis tidak semua siswa suka menunya Mending beri saja yang ke ortunya dan penyelenggara tinggal menentukan alternatif menu dan pemantauan tiap hari kerja lebih enteng dan anak anak suka masakannya kata anak saya masakannya;
negatif;Ramadhan akan banyak Siswa keracunan menu Makan Bergizi Gratis yang sudah Basi karena dimasak pagi baru di bagikan dan di makan sore saat berbuka;
negatif;Program Makan Bergizi Gratis Makin lama akan makin begini kualitasnya Susu nya sudah hilang Ayamnya sudah hilang Tinggal tempe dan tahu Nasi putih dan pisang kecil Tak berapa lama lagi tahunya akan lenyap dan tempenya pun akan raib Sementara Laporan Keuangannya tetap per;
negatif;pengalihan isu makan bergizi gratis;
negatif;Makan bergizi gratis utk pelajar diseluruh indonesia itu BOHONG atau mungkin ada tapi hanya untuk pelajar2 dipulau Jawa amp;
positif;Dukung Penuh Pemerintahan  Demokrat melalui  ajak semua elemen sukseskan program makan bergizi gratis;
negatif;Mau Nglawan sama Allah SWT   Zakat bukan untuk makan Bergizi gratis syariat tdk mengatur untuk itu Gibran tuh suruh mikir n tanggung jawab bisa Nga;
positif;Mending orangtua wajib bikin bekal untuk anakanaknya Judulnya diubah makan bergizi gratis menjadi makan bergizi bersama;
negatif;Sama sekali ga ada hubungannya antara program makan siang bergizi gratis dengan membangun generasi emasyang ada generasi ngemis;
positif;Program Makan Bergizi Gratis memang belum sempurna ayo kita awasi dan kita kawal bersama biar semakin mantap mantap;
negatif;Kemungkinan itu pembagian makan bergizi gratis min;
negatif;Nasi salmon vs makan bergizi gratis;
negatif;Makan Bergizi Gratis tanpa laporan keracunan;
negatif;Makan siang bergizi tidak gratis;
negatif;Porsi Makan Bergizi Gratis yang direkomendasikan ke pak Prabowo;
positif;MBG Makan Bergizi Gratis Makan Beracun Gratis Menyala program Menuju Indonesia C emas paket Makan 10K;
negatif;makanan dorm tidak bergizi tidak gratis cuma makan;
positif;dari makan siang gratis jadi makan bergizi gratis makin ke sini kok jadi makan bersyukur gratis yak;
negatif;Yth Bapak  program makan bergizi gratis merupakan inisiatif yang sangat baik Namun apabila masih terdapat kendala mungkin dapat dipertimbangkan opsi lain seperti menurunkan harga sembako agar manfaatnya dirasakan lebih luas oleh seluruh masyarakat Terima kasih;
negatif;KOK DEDDY CORBUZIER MAKI SISWA PENERIMA PROGRAM MAKAN GRATIS Bang Deddy kena sorotan nih Dia sebut Pea ke siswa yang kritik ayam Program Makanan Bergizi MBG Maksudnya ngajarin bersyukur tapi malah bandingin pengalaman anaknya makan nasi kotak syuting;
negatif;Pak makan bergizi gratis mana di Pemalang Jateng belum pernah sama sekali;
positif;bang kalo sekolah di PL atau Tarka dapet makan bergizi gratis gak ya;
positif;Ini program makan gratis atau makan BERGIZI gratis;
negatif;Kalau sudah disepakati penggunaan zakat untuk Makan Bergizi Gratis harus dana baru yang terkumpul sejak disetujui Karena dana yang sudah terkumpul penyumbangnya mungkin ada yang berharap untuk selain makan dan kelompok yang kurang mampu;
negatif;Makan siang bergizi tidak gratis hari ini temanya bawang putih;
positif;Kali ini gw se7 dengan Deddy Corbuzier makan bergizi gratis pemerintahan Presiden Prabowo sudah sungsang sumbel tambal dana segala macam utk gizi MBG ada anaksiswaortu komplaingak tahu bersyukurTumben makan enak belaguSyukuri jgn bacritLihat Palestinatak mengeluh;
negatif;Nek emang gitu tolong Beri aku makan gratis bergizi pak wowo biar gajiku utuh;
negatif;Gak dipasin aja jadi sama dengan 1 porsi makan bergizi gratis;
negatif;Kan biar bergizi Kaya makan siang gratis;
positif;program makan bergizi gratis  makan bersyukur gratis;
negatif;Mending gaji dan tunjangan2ny buat nalangin makan bergizi gratis aja pak;
negatif;Kalo ASN sudah sampai demo berarti negara udah ancur banget apa ya Ada aja gebrakannya tiap minggu ini negara Belum juga 100 hari jabat ini Prabski  MBG Makan Bergizi Gratis  Pagar laut Tangerang  ASN demo;
positif;Waktunya makan bergizi dan gratis di 31 provinsi segar bugar;
positif;Makan bergizi gratis udah hadir di 31 provinsi saatnya kamu sehat juga;
positif;Saatnya nikmati makan bergizi gratis di 31 provinsi Sehat jadi milik bersama;
negatif;Ya harusnya karena ada kritikan itu diterima untuk berbenah bukan malah merasa gak terima judulnya kemarinkan makan bergizi gratis la masak malah lebih bergizi yg dibawa bekel dri rumah;
negatif;Program Makan Bergizi Gratis MBG Presiden Prabowo Subianto terus dapat sorotan dari warga 62 Netizen menilai ada banyak persoalan di program MBG yang menyebabkan anakanak menyisakan makanan sampai enggan memakannya Misalnya soal porsi dan rasanya Soal kemasan dan sisa;
positif;Setuju bgt ini Sy jg yakin orang2 yg sdh mampu malah akan ikut senang melihat saudara2nya yg didesa2 terpencil yg merasakan makan bergizi gratis ini;
negatif;Gw pernah ikut ngajar volunteer di suatu SD daerah kaki gn Bromo disana tiap jam 10 siswa dapet makan bergizi gratis dan layak dari iuran ortu tiap bulan lupa ga nanya berapanya uniknya lagi bisa juga setor pake hasil tani Dan yang olah itu;
positif;Berkabar baik 31 provinsi senang dengan makan gizi gratisProgram makan bergizi gratis kini hadir di 31 provinsi bisa lebih sehat dengan mudah;
negatif;Pak  menjawab keraguan dengan keberanian dan keberhasilan di 100 hari pertama Program Makan Bergizi Gratis yang diragukan berbagai pihak berhasil dimulai Kekhawatiran aspirasi dibungkam juga tidak terbukti Alihalih dibungkam aspirasi justru sangat didengarkan;
negatif;Biasa om lg nyindir makan bergizi gratis;
negatif;Program Makan Bergizi Gratis  Antara janji Kampanye dan realisasi;
positif;Gratis dan bergizi program makan kini ada di 31 provinsi ikutan yuk jadi lebih sehat;
negatif;Imbas Makan Bergizi Gratis Pedagang Kantin Sekolah Mengeluh Omzet Turun ;
positif;Makan bergizi gratis tersedia di 31 provinsi coba deh;
positif;Program makan bergizi gratis solusi tepat untuk pemenuhan gizi di 31 provinsi;
positif;Makan Bergizi Gratis memberikan manfaat bagi pertumbuhan generasi penerus Bangsa;
positif;Program makan bergizi gratis untuk mewujudkan visi Indonesia emas 2045;
negatif;Waduh Pelajar Keracunan Setelah Mengonsumsi Makan Bergizi Gratis ;
positif;Program makan bergizi gratis untuk memenuhi gizi nasional;
positif;Program makan bergizi gratis meluas ke 31 provinsi Siap jadi bagian dari perubahan;
positif;Program makan bergizi gratis meluas sampai 31 provinsi yuk merapat;
positif;Program makan bergizi gratis mencapai 31 provinsi langkah besar menuju Indonesia sehat;
positif;Mantapnya program makan bergizi gratis sudah mencapai 31 provinsi Ayo kita sehat bersama;
positif;Program ini gak cuma janji makan bergizi gratis udah jalan di 31 provinsi;
negatif;Dijanjiin makan gratis bergizi kak bukan makan bersyukur;
positif;Senyum Bahagia Anakanak di Intan Jaya Papua Nikmati Makan Bergizi Gratis Terima Kasih Pak Presiden;
positif;Sehatkan Anak Bangsa Polres Pelabuhan Makassar menggelar Makan Bergizi Gratis;
negatif;Percayalah nder Ada banyak hal yang lebih rumit dibanding mikirin kamu tuh harus gimana karena cowo kamu nafsuan sama mantannya Ada shin tae yong yang di pecat ada masalah makan bergizi gratis indo dah masuk brics coretax yang down terus sistem;
positif;Good news Program makan bergizi gratis udah ada di 31 provinsi Siapkan diri buat coba;
positif;Selangkah lebih maju makan bergizi gratis sekarang di 31 provinsi;
positif;Buat yang di 31 provinsi ayo nikmati makan bergizi gratis;
negatif;Program Makan Bergizi Gratis MBG yang baru berjalan belum bisa dinikmati seluruh anak Indonesia Presiden Prabowo Subianto menargetkan program ini rampung dan menjangkau semua anak pada akhir 2025;
negatif;Indonesia lagi banyak masalah pending aja dulu Om Mikirin Makan Bergizi Gratis aja masih babak belur belum ketemu solusinya;
positif;Kesehatan untuk semua Program makan bergizi gratis sudah hadir di 31 provinsi;
negatif;lah kok sekarang hadi makan gratis doang yang ditonjolin bergizi dan mencegah StunTINg nya mana kalau cuma konsep makan gratis dikasih nasi garem harusnya bersyukur dong ya;
negatif;Imbas adanya program makan bergizi gratis para pedagang kantin di sekolahsekolah mengalami penurunan omset dan terancam bangkrut;
negatif;Nungguin jatah makan bergizi gratis steak harga nemjutah Semoga ngga keracunan macem orang sombong yang ngga bersyukur dengan wajah ciptaan Allah;
negatif;nih makan gratis yg katanya bergizi ksh ke polisi aje biar pd diet itu baju nya klo bisa ngomong jg udh teriak minta dilepas;
negatif;1 program itu didanai sama uang pajak yg aku kamu dan kita semua bayar bukan makan gratis 2 kemarin nyebutnya makan BERGIZI gratis nyatanya apa bergizi nggak enak nggak diperhatiin nutrisinya anak jg belum tentu apalagi tn;
positif;Makan Bergizi Gratis sangat bermanfaat kembangkan generasi emas Indonesia;
positif;Bangga banget ngeliat polisi ikut wujudkan program makan bergizi gratis;
negatif;Belum sampai ditempat makan bergizi gratis sudah mumet makanya jangan janji kalau gak bisa tepati tanggung jawablah atas keputusannya jangan jadi pemimpin yang munafik;
negatif;Program Makan Bergizi Gratis Diharapkan tidak Jadi Bancakan Korupsi;
positif;Indonesia makin sehat Program makan bergizi gratis sudah hadir di 31 provinsi yuk gabung;
positif;Makan bergizi gratis memberikananfaat yang sangat besar untuk anak pedalaman dan kurang mampu;
positif;Kian bertambah makan bergizi gratis sekarang hadir di 31 provinsi;
positif;Sekarang makan bergizi gratis udah bisa dinikmatin di 31 provinsi;
positif;Jangkauan program makan bergizi gratis udah meluas ke 31 provinsi;
negatif;makan bergizi gak gratis;
positif;31 provinsi kini punya program makan bergizi gratis yuk merapat;
positif;Makan bergizi gratis udah nyampe 31 provinsi Ayo jaga kesehatan barengbareng;
positif;Makan bergizi gratis memang mantap;
negatif;Gue mengambil cuti untuk lihat lihat sekolah gue dari SD sampai SMA pelaksanaan Makan Bergizi Gratis;
negatif;Makan Bergizi Gratis Day 11 Makanan hari ini agak memprihatinkan ayamnya seperti habis dikeringkan jadi tekstur dagingnya nggak banget Sosisnya udh kecil masih aja dipotong lagi setengah sayurannya nggak fresh Yah setidaknya semangkanya enak kali ini;
positif;Program makan bergizi gratis untuk anakanak di Indonesia;
positif;Program Makan Bergizi Gratis memberikan manfaat nyata bagi masyarakat pedalaman;
negatif;jika memang fokusnya tuk perbaikan gizi bukan soal diberikan makan bergizi gratis tiap siang Hemat saya itu kurang cukup efektif amp;
negatif;Kami protesss ya sudahh berrti kamu kurang makan bergizi gratis;
positif;Program makan bergizi gratis kado dari kinerja 100 hari pemerintah Prabowo;
positif;Sangat sangat setuju sekalian diikutkan program makan bergizi gratis;
negatif;Siapa nih yg sdh mendapatkan program Makan Bergizi Gratis  Ternyata melalui program ini  ingin menanamkan pendidikan karakter kpd para peserta didik loh Ingin tahu selengkapnya Yuk tonton video ini sampai selesai;
positif;Makan bergizi gratis hadir 31 provinsi ikut kebagian;
positif;Mantap lebih sehat Program makan bergizi gratis kini tersedia di 31 provinsi;
positif;membantu menyukseskan program makan bergizi gratis kepada anak sekolah 10 tahun yg lalu;
positif;Program Makan Bergizi Gratis adalah langkah nyata mewujudkan Indonesia yang lebih sehat dan produktif;
positif;Lebih sehat lebih merata program makan bergizi gratis hadir di 31 provinsi;
negatif;kalo judulnya makan bergizi gratis ya wajar lah diprotes kalo ga bergizi apalagi basi atau ga wajar rasanya bukan protes lagian tuh anak cuma blg rasanya aneh;
positif;Program makan bergizi gratis akhirnya bisa diakses seluruh 31 provinsi Yuk mari;
negatif;Program Makan Bergizi Gratis menuju Indonesia Emas 2045;
positif;Mantap Makan bergizi gratis sekarang ada di 31 provinsi;
positif;Seluruh Indonesia makin sehat Program makan bergizi gratis udah sampai 31 provinsi;
positif;Kini 31 provinsi bisa nikmati program makan bergizi gratis Ayo sehat bareng;
negatif;butuh makan bergizi gratis dari ndut;
negatif;Gw prnh ngisi survey ttg makan bergizi gratis ttg pilkada pemilu bhkn survey ttg sikap thdp pemerintahan sblmny Tiap slesai ngisi slalu dapet poin buat d tukar k bbrp hadiah Tp klo pada akhirny itu jd slh satu acuan utama dr litbang mnurut;
positif;Sehat bareng Program makan bergizi gratis telah hadir di 31 provinsi Indonesia;
positif;Mau hidup sehat Program makan bergizi gratis udah ada di 31 provinsi yuk nikmati;
positif;Jangan sampai kelewatan program makan bergizi gratis udah sediakan akses di 31 provinsi;
positif;Bahagia deh makan gratis yang bergizi sudah tiba di 31 provinsi;
positif;Mari dukung program makan bergizi gratis yang udah ada di seluruh 31 provinsi;
positif;makan bergizi gratis kah ini;
negatif;Ayo manfaatkan makan bergizi gratis yang hadir di 31 provinsi ini;
positif;Mari padukan sehat dan mudah makan gratis bergizi kini di 31 provinsi;
positif;Selamat sehat Program makan bergizi gratis menyebar hingga 31 provinsi;
positif;Ayo raih hidup sehat dengan program makan bergizi gratis di 31 provinsi;
positif;31 provinsi udah terjangkau program makan bergizi gratis ikut yuk;
positif;Yuk sehatsehat Program makan bergizi gratis udah ada di 31 provinsi Okay buat kita semua;
positif;Nanti pk  pk  pk  jika pengungsi palestina ditempatnya ke 62 apakah program makan bergizi gratis bisa juga dikasih kerakyat palestinaPejabat model hambali dipelihara negara mending buka hub diplomasi dg israel Cc;
positif;Semua bisa sehat makan bergizi gratis ada di 31 provinsi;
positif;Di 31 provinsi makan bergizi itu gratis siapsiap yuk;
negatif;18 tahun yang lalu Presiden  sudah memikirkan program Makan Bergizi Gratis untuk rakyat;
positif;Semua untuk sehat Program makan bergizi gratis sudah di 31 provinsi ayo gabung;
positif;Program makan bergizi gratis turut dirasakan oleh para siswa yang berada di daerah Papua Pegunungan;
negatif;pada ngeributin makan gratis lah dr awal kan udh dibilang makanan bergizi utk stunting tp nyatanya apa no salty tp emg keliatan makanannya ga layak bnyk yg protes itu wajar lah org dr pajak rakyat ko wkwk;
positif;Makan bergizi gratis udah bisa dinikmati di 31 provinsi;
positif;31 provinsi sudah menikmati program makan bergizi gratis Kamu kapan;
positif;Sehat jadi cara hidup program makan bergizi gratis kini sampai ke 31 provinsi;
positif;Program makan bergizi gratis hadir di seluruh 31 provinsi untuk kamu nikmati;
negatif;Lu tau kan kalo duit 10rb skrg gabisa dapet makanan dgn menu yang bergizi terus ngapain Masih dipaksa gitu lo Tujuan dari program ini kan MAKAN BERGIZI GRATIS ada kata GIZI disitu berarti makanan yang disediakan memang harus;
positif;Cukup sampai dua kata 31 provinsi Program makan bergizi gratis yuk sehat bersama;
positif;Ayo semua nikmati makan bergizi gratis di 31 provinsi;
negatif;oiya makan bergizi gratis gue mana;
positif;Wow 31 provinsi udah dijangkau program makan bergizi gratis Ikutan sehat bareng;
positif;Jadi lebih mudah hidup sehat program makan bergizi gratis sampai 31 provinsi;
positif;makan bergizi gratis sebenernya adalah pemusnah separuh populasi indonesia wkwk;
positif;Dari Sabang sampai Merauke gratis makan bergizi di 31 provinsi;
negatif;Dukung terus program makan bergizi gratis yang sekarang jangkau 31 provinsi;
positif;Makin keren sekarang program makan bergizi gratis bisa dinikmati di 31 provinsi;
negatif;Percayaaa bangeeet dg berita ini Hoaks tuh kehebohan PPN 12 pagar laut makan bergizi gratis dll;
positif;Program makan gratis di Italy tapi cuma dapat terima kasih Makan Bergizi Grazie;
positif;Program makan bergizi gratis kini sudah ada di 31 provinsi tinggal kita manfaatin;
positif;Jangan lupa makan bergizi gratis sekarang ada di 31 provinsi;
positif;Sekarang program makan bergizi gratis bisa diakses di 31 provinsi siap sehat bersama;
positif;Tingkatkan kualitas hidup dengan ikut program makan bergizi gratis di 31 provinsi;
positif;Lebih gampang sehat Program makan bergizi gratis hadir di 31 provinsi Siap kita jaga;
positif;Makan bergizi gratis menjangkau 31 provinsi inilah saatnya kita beralih ke hidup sehat;
positif;Program gratis makan bergizi udah jangkau 31 provinsi pasti seru;
positif;Makin oke program makan bergizi gratis hadir di 31 provinsi Ayo manfaatkan sekarang;
positif;Sekarang 31 provinsi terasa dekat dengan kesehatan berkat makan bergizi gratis;
positif;Nggak perlu pusing sekarang 31 provinsi udah ada makan bergizi gratis;
positif;Sekarang di 31 provinsi memiliki program makan bergizi gratis siap sehat bareng kita semua;
positif;Ikuti langkah sehat barengbareng makan bergizi gratis udah di 31 provinsi;
negatif;Semua 31 provinsi harus tau Makan bergizi gratis sudah hadir;
positif;Kerja nyata 31 provinsi sukses di jangkau program makan bergizi gratis;
negatif;Its amazing how people nyerang anak2 yang bilang Tahunya kecut Sayurnya mentah Rasanya pahit Baunya apek Dengan pembelaan kan makan bergizi gratis bukan makan enak gratis Woi kalo rasanya beda gitu berarti udah tanda2 mau basi Apakah makanan basi itu bergizi;
negatif;Makan siang gratis yg bergizi itu ada yg menunya tahu gejrot ya;
positif;31 provinsi sudah terjamah program makan bergizi gratis siapa lagi yang mau sehat;
positif;Nggak perlu khawatir soal asupan di 31 provinsi sudah ada makan bergizi gratis;
negatif;Sekarang 31 provinsi udah bisa nikmatin makan bergizi gratis Jangan sampai ketinggalan;
positif;Yuk kita lari ke sehat Program makan bergizi gratis udah sampe ke 31 provinsi;
positif;Antusiasme Daerah Dukung Program Makan Bergizi Gratis;
positif;Gimana perasaanmu Program makan bergizi gratis udah sampe 31 provinsi;
positif;Dari Sabang sampai Merauke makan bergizi gratis kini tersedia di 31 provinsi;
positif;Bersama untuk sehat makan bergizi gratis hadir di 31 provinsi;
positif;Hore 31 provinsi sudah ikut serta dalam program makan bergizi gratis Jangan lewatkan;
positif;Kini 31 provinsi bisa nikmatin program makan bergizi gratis Jangan lewatkan program ini;
negatif;Senangnya 31 provinsi sudah bisa ikut program makan bergizi gratis Yuk gabung juga;
positif;Kini 31 provinsi bisa menikmati program makan bergizi gratis yuk cobain;
positif;Sebarkan berita makan bergizi gratis kini tersedia di 31 provinsi Yuk ikutan;
negatif;Asal njeplak APBD udah ada siapin anggaran nambal MBG ngorbanin kegiatan lain pada dicoretin Makan Bergizi Gratis lauknya pavingblok lha pavingnya batal gara buat MBG;
positif;Program makan bergizi gratis telah hadir di 31 provinsi Ini saatnya kita hidup sehat;
positif;Hore Program makan bergizi gratis udah sampe 31 provinsi siap bikin kita lebih sehat;
positif;Makan bergizi gratis akhirnya menembus 31 provinsi waktunya kita ikut programnya;
positif;Seluruh 31 provinsi sekarang bisa dapetin makan bergizi gratis Jangan sampe ketinggalan;
positif;Makin dekat dengan sehat Program makan bergizi bisa dinikmati gratis di 31 provinsi;
positif;Siapsiap sehat program makan bergizi gratis udah nyerempet 31 provinsi Indonesia;
negatif;Ngga ikut makan bergizi gratis mas ku;
positif;Seluruh 31 provinsi siap hidup sehat program makan bergizi gratis sudah hadir;
positif;Bergerak lebih sehat dengan program makan bergizi gratis yang ada di 31 provinsi;
positif;Segera sambut datangnya program makan bergizi gratis di 31 provinsi;
positif;Seluruh 31 provinsi kini ada program makan bergizi gratis ayok kita manfaatkan;
negatif;Seluruh 31 provinsi sudah kebagian program makan bergizi gratis Yuk jangan ketinggalan;
positif;Program makan bergizi gratis sudah jangkau seluruh 31 provinsi Yuk ikutan biar makin sehat;
positif;Saatnya sehat bersama 31 provinsi udah dijangkau program makan bergizi gratis;
negatif;Ini ASN dkasih Makan bergizi gratis trus bilang ga enak Bukan kan;
positif;Promosi kesehatan Program makan bergizi gratis hadir di 31 provinsi Ngapain nunggu;
positif;Program makan bergizi gratis jangkau 31 provinsi yuk bantu sebarkan infonya ke teman;
positif;Siap sehat Program makan bergizi gratis udah hadir di 31 provinsi Yuk kita manfaatin;
positif;Sambut program makan bergizi gratis di 31 provinsi dan rasakan hidup sehat;
positif;Mudah dijangkau makan bergizi gratis tersedia di 31 provinsi;
positif;Jangan lewatkan kesempatan emas ini Makan bergizi gratis kini ada di 31 provinsi;
positif;Dengan 31 provinsi menikmati makan bergizi gratis kesehatan jadi prioritas utama;
positif;Tinggal di 31 provinsi langsung dapat manfaat dari program makan bergizi gratis;
positif;Shock banget makan bergizi gratis udah cakup 31 provinsi;
positif;Kabar baik buat kita program makan bergizi gratis udah tersedia di 31 provinsi;
positif;SETUJU brandingnya khan MAKAN BERGIZI GRATIS Bukan asal ngasih menu makan terus bikin video ucapan TERIMAKASIH kpd pemerintah Klo menu makanannya bergizi amp;
positif;Akhirnya program makan bergizi gratis sudah menjangkau 31 provinsi siap menuju hidup sehat;
positif;Sukseskan makan bergizi gratis tanpa mengurangi tingkat kesejahteraan daerah;
positif;Tunggu apa Program makan bergizi gratis sekarang ada 31 provinsi langsung cobain;
positif;Ayo uji coba makan bergizi gratis di 31 provinsi sekarang;
positif;Kini hidup sehat makin dekat program makan bergizi gratis sudah mencapai 31 provinsi;
positif;Makin gampang dapet makan bergizi gratis udah ada di 31 provinsi loh;
positif;Mulai sekarang 31 provinsi ikut dalam program makan bergizi gratis kesejahteraan meningkat;
